,增长,通胀,利率,信用,海外,美元
2015-06-21,-1.0,1.0,-1.0,1.0,1.0,-1.0
2015-06-28,-1.0,1.0,-1.0,-1.0,1.0,1.0
2015-07-05,-1.0,1.0,1.0,-1.0,1.0,1.0
2015-07-12,-1.0,1.0,1.0,-1.0,1.0,1.0
2015-07-19,-1.0,1.0,1.0,-1.0,1.0,1.0
2015-07-26,-1.0,1.0,1.0,-1.0,1.0,1.0
2015-08-02,-1.0,1.0,1.0,-1.0,1.0,1.0
2015-08-09,-1.0,1.0,1.0,-1.0,1.0,1.0
2015-08-16,-1.0,1.0,-1.0,-1.0,1.0,-1.0
2015-08-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-08-30,-1.0,1.0,1.0,-1.0,1.0,-1.0
2015-09-06,-1.0,1.0,-1.0,-1.0,1.0,-1.0
2015-09-13,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2015-09-20,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2015-09-27,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2015-10-04,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2015-10-11,1.0,1.0,1.0,-1.0,1.0,-1.0
2015-10-18,1.0,1.0,-1.0,1.0,-1.0,-1.0
2015-10-25,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-11-01,1.0,1.0,-1.0,1.0,-1.0,-1.0
2015-11-08,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-11-15,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2015-11-22,-1.0,-1.0,-1.0,1.0,-1.0,1.0
2015-11-29,-1.0,1.0,-1.0,1.0,-1.0,1.0
2015-12-06,-1.0,1.0,1.0,-1.0,1.0,-1.0
2015-12-13,-1.0,1.0,1.0,1.0,1.0,-1.0
2015-12-20,-1.0,1.0,1.0,1.0,1.0,-1.0
2015-12-27,-1.0,1.0,1.0,1.0,1.0,-1.0
2016-01-03,-1.0,1.0,1.0,1.0,1.0,-1.0
2016-01-10,-1.0,1.0,1.0,1.0,1.0,-1.0
2016-01-17,-1.0,1.0,1.0,1.0,1.0,-1.0
2016-01-24,-1.0,1.0,-1.0,1.0,1.0,-1.0
2016-01-31,1.0,1.0,-1.0,1.0,1.0,-1.0
2016-02-07,1.0,1.0,-1.0,1.0,-1.0,-1.0
2016-02-14,1.0,1.0,-1.0,1.0,-1.0,-1.0
2016-02-21,1.0,1.0,-1.0,1.0,-1.0,-1.0
2016-02-28,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2016-03-06,1.0,1.0,1.0,-1.0,-1.0,-1.0
2016-03-13,1.0,1.0,1.0,-1.0,-1.0,-1.0
2016-03-20,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-03-27,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-04-03,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-04-10,-1.0,1.0,1.0,-1.0,1.0,-1.0
2016-04-17,-1.0,1.0,1.0,-1.0,1.0,-1.0
2016-04-24,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2016-05-01,-1.0,1.0,-1.0,-1.0,-1.0,1.0
2016-05-08,-1.0,1.0,-1.0,-1.0,-1.0,1.0
2016-05-15,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2016-05-22,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2016-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2016-06-05,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2016-06-12,1.0,-1.0,-1.0,1.0,-1.0,1.0
2016-06-19,1.0,-1.0,-1.0,1.0,-1.0,1.0
2016-06-26,1.0,-1.0,-1.0,1.0,-1.0,1.0
2016-07-03,1.0,-1.0,1.0,1.0,-1.0,1.0
2016-07-10,1.0,-1.0,-1.0,1.0,-1.0,1.0
2016-07-17,1.0,-1.0,-1.0,1.0,-1.0,-1.0
2016-07-24,1.0,-1.0,1.0,-1.0,-1.0,1.0
2016-07-31,1.0,-1.0,1.0,-1.0,1.0,-1.0
